,Name,Team,Number,Position,Age,Salary
227,Justin Anderson,Dallas Mavericks,1.0,SG,22.0,1449000.0
228,J.J. Barea,Dallas Mavericks,5.0,PG,31.0,4290000.0
229,Jeremy Evans,Dallas Mavericks,21.0,SF,28.0,1100602.0
230,Raymond Felton,Dallas Mavericks,2.0,PG,31.0,3950313.0
231,Devin Harris,Dallas Mavericks,34.0,PG,33.0,4053446.0
232,David Lee,Dallas Mavericks,42.0,PF,33.0,2085671.0
233,Wesley Matthews,Dallas Mavericks,23.0,SG,29.0,16407500.0
234,JaVale McGee,Dallas Mavericks,11.0,C,28.0,1270964.0
235,Salah Mejri,Dallas Mavericks,50.0,C,29.0,525093.0
236,Dirk Nowitzki,Dallas Mavericks,41.0,PF,37.0,8333334.0
237,Zaza Pachulia,Dallas Mavericks,27.0,C,32.0,5200000.0
238,Chandler Parsons,Dallas Mavericks,25.0,SF,27.0,15361500.0
239,Dwight Powell,Dallas Mavericks,7.0,PF,24.0,845059.0
240,Charlie Villanueva,Dallas Mavericks,3.0,PF,31.0,947276.0
241,Deron Williams,Dallas Mavericks,8.0,PG,31.0,5378974.0
242,Trevor Ariza,Houston Rockets,1.0,SF,30.0,8193030.0
243,Michael Beasley,Houston Rockets,8.0,SF,27.0,306527.0
244,Patrick Beverley,Houston Rockets,2.0,PG,27.0,6486486.0
245,Corey Brewer,Houston Rockets,33.0,SG,30.0,8229375.0
246,Clint Capela,Houston Rockets,15.0,PF,22.0,1242720.0
247,Sam Dekker,Houston Rockets,7.0,SF,22.0,1646400.0
248,Andrew Goudelock,Houston Rockets,0.0,PG,27.0,200600.0
249,James Harden,Houston Rockets,13.0,SG,26.0,15756438.0
250,Montrezl Harrell,Houston Rockets,35.0,PF,22.0,1000000.0
251,Dwight Howard,Houston Rockets,12.0,C,30.0,22359364.0
252,Terrence Jones,Houston Rockets,6.0,PF,24.0,2489530.0
253,K.J. McDaniels,Houston Rockets,32.0,SG,23.0,3189794.0
254,Donatas Motiejunas,Houston Rockets,20.0,PF,25.0,2288205.0
255,Josh Smith,Houston Rockets,5.0,C,30.0,947276.0
256,Jason Terry,Houston Rockets,31.0,SG,38.0,947276.0
257,Jordan Adams,Memphis Grizzlies,3.0,SG,21.0,1404600.0
258,Tony Allen,Memphis Grizzlies,9.0,SG,34.0,5158539.0
259,Chris Andersen,Memphis Grizzlies,7.0,PF,37.0,5000000.0
260,Matt Barnes,Memphis Grizzlies,22.0,SF,36.0,3542500.0
261,Vince Carter,Memphis Grizzlies,15.0,SG,39.0,4088019.0
262,Mike Conley,Memphis Grizzlies,11.0,PG,28.0,9588426.0
263,Bryce Cotton,Memphis Grizzlies,8.0,PG,23.0,700902.0
264,Jordan Farmar,Memphis Grizzlies,4.0,PG,29.0,
265,Marc Gasol,Memphis Grizzlies,33.0,C,31.0,19688000.0
266,JaMychal Green,Memphis Grizzlies,0.0,PF,25.0,845059.0
267,P.J. Hairston,Memphis Grizzlies,19.0,SF,23.0,1201440.0
