Andre Iguodala,Golden State Warriors,9.0,SF,32.0,11710456.0
Shaun Livingston,Golden State Warriors,34.0,PG,30.0,5543725.0
Kevon Looney,Golden State Warriors,36.0,SF,20.0,1131960.0
James Michael McAdoo,Golden State Warriors,20.0,SF,23.0,845059.0
Brandon Rush,Golden State Warriors,4.0,SF,30.0,1270964.0
Marreese Speights,Golden State Warriors,5.0,C,28.0,3815000.0
Klay Thompson,Golden State Warriors,11.0,SG,26.0,15501000.0
Anderson Varejao,Golden State Warriors,18.0,PF,33.0,289755.0
Cole Aldrich,Los Angeles Clippers,45.0,C,27.0,1100602.0
Jeff Ayres,Los Angeles Clippers,19.0,PF,29.0,111444.0
Jamal Crawford,Los Angeles Clippers,11.0,SG,36.0,5675000.0
Branden Dawson,Los Angeles Clippers,22.0,SF,23.0,525093.0
Jeff Green,Los Angeles Clippers,8.0,SF,29.0,9650000.0
Blake Griffin,Los Angeles Clippers,32.0,PF,27.0,18907726.0
Wesley Johnson,Los Angeles Clippers,33.0,SF,28.0,1100602.0
DeAndre Jordan,Los Angeles Clippers,6.0,C,27.0,19689000.0
Luc Richard Mbah a Moute,Los Angeles Clippers,12.0,PF,29.0,947276.0
Chris Paul,Los Angeles Clippers,3.0,PG,31.0,21468695.0
Paul Pierce,Los Angeles Clippers,34.0,SF,38.0,3376000.0
Pablo Prigioni,Los Angeles Clippers,9.0,PG,39.0,947726.0
JJ Redick,Los Angeles Clippers,4.0,SG,31.0,7085000.0
Austin Rivers,Los Angeles Clippers,25.0,PG,23.0,3110796.0
C.J. Wilcox,Los Angeles Clippers,30.0,SG,25.0,1159680.0
Brandon Bass,Los Angeles Lakers,2.0,PF,31.0,3000000.0
Tarik Black,Los Angeles Lakers,28.0,C,24.0,845059.0
Anthony Brown,Los Angeles Lakers,3.0,SF,23.0,700000.0
Kobe Bryant,Los Angeles Lakers,24.0,SF,37.0,25000000.0
Jordan Clarkson,Los Angeles Lakers,6.0,PG,24.0,845059.0
Roy Hibbert,Los Angeles Lakers,17.0,C,29.0,15592217.0
Marcelo Huertas,Los Angeles Lakers,9.0,PG,33.0,525093.0
Ryan Kelly,Los Angeles Lakers,4.0,PF,25.0,1724250.0
Larry Nance Jr.,Los Angeles Lakers,7.0,PF,23.0,1155600.0
Julius Randle,Los Angeles Lakers,30.0,PF,21.0,3132240.0
D'Angelo Russell,Los Angeles Lakers,1.0,PG,20.0,5103120.0
Robert Sacre,Los Angeles Lakers,50.0,C,27.0,981348.0
Louis Williams,Los Angeles Lakers,23.0,SG,29.0,7000000.0
Metta World Peace,Los Angeles Lakers,37.0,SF,36.0,947276.0
Nick Young,Los Angeles Lakers,0.0,SF,31.0,5219169.0
Eric Bledsoe,Phoenix Suns,2.0,PG,26.0,13500000.0
Devin Booker,Phoenix Suns,1.0,SG,19.0,2127840.0
Chase Budinger,Phoenix Suns,10.0,SF,28.0,206192.0
Tyson Chandler,Phoenix Suns,4.0,C,33.0,13000000.0
Archie Goodwin,Phoenix Suns,20.0,SG,21.0,1160160.0
John Jenkins,Phoenix Suns,23.0,SG,25.0,981348.0
Brandon Knight,Phoenix Suns,3.0,PG,24.0,13500000.0
Alex Len,Phoenix Suns,21.0,C,22.0,3807120.0
Jon Leuer,Phoenix Suns,30.0,PF,27.0,1035000.0
Phil Pressey,Phoenix Suns,25.0,PG,25.0,55722.0
Ronnie Price,Phoenix Suns,14.0,PG,32.0,947276.0
Mirza Teletovic,Phoenix Suns,35.0,PF,30.0,5500000.0
